(venv) root@vbox:/home/vboxuser/lstm/codes# python collect_data.py
==========================================================================================
  Floodlight 3-Controller Metrik Toplama
  Log: real_time_metrics.log | Ctrl+C ile durdur
==========================================================================================
    # |               Zaman | Ctrl |   CPU% |   Mem% |  HeapMB |    HGrow |  pCPU% |     RTT
------------------------------------------------------------------------------------------
   25 | 2026-03-07 15:18:16 |   c3 |   63.0 |   44.9 |   146.2 |  1214667 |   21.0 |    11.2
   26 | 2026-03-07 15:18:17 |   c1 |   47.6 |    0.0 |       - |        0 |    0.0 |     0.0
   26 | 2026-03-07 15:18:17 |   c2 |   45.3 |   45.1 |   139.4 |  1284563 |   26.5 |    17.0
   26 | 2026-03-07 15:18:18 |   c3 |   54.4 |   46.0 |   149.8 |  1270502 |   20.9 |    14.1
   27 | 2026-03-07 15:18:20 |   c1 |   45.9 |    0.0 |       - |        0 |    0.0 |     0.0
   27 | 2026-03-07 15:18:20 |   c2 |   59.4 |   46.3 |   143.3 |  1272244 |   26.4 |    13.9
   27 | 2026-03-07 15:18:21 |   c3 |   59.2 |   47.4 |   154.2 |  1510414 |   20.9 |    13.2
   28 | 2026-03-07 15:18:23 |   c1 |   41.7 |    0.0 |       - |        0 |    0.0 |     0.0
   28 | 2026-03-07 15:18:23 |   c2 |   54.9 |   47.3 |   146.4 |  1196610 |   26.3 |    18.8
   28 | 2026-03-07 15:18:24 |   c3 |   57.7 |   48.2 |   156.9 |  1072805 |   20.9 |    15.6
   29 | 2026-03-07 15:18:25 |   c1 |   43.0 |    0.0 |       - |        0 |    0.0 |     0.0
   29 | 2026-03-07 15:18:25 |   c2 |   52.4 |   48.7 |   150.7 |  1689823 |   26.3 |    10.6
   29 | 2026-03-07 15:18:26 |   c3 |   59.6 |   49.4 |   160.7 |  1656877 |   20.9 |    14.2
   30 | 2026-03-07 15:18:28 |   c1 |   47.6 |    0.0 |       - |        0 |    0.0 |     0.0
   30 | 2026-03-07 15:18:28 |   c2 |   45.9 |   49.7 |   153.8 |  1218371 |   26.2 |    21.8
   30 | 2026-03-07 15:18:29 |   c3 |   59.3 |   50.5 |   164.5 |  1343720 |   20.8 |    13.6
   31 | 2026-03-07 15:18:30 |   c1 |   38.8 |    0.0 |       - |        0 |    0.0 |     0.0
   31 | 2026-03-07 15:18:31 |   c2 |   42.9 |   50.9 |   157.5 |  1415581 |   26.2 |    20.1
   31 | 2026-03-07 15:18:31 |   c3 |   69.6 |   51.6 |   168.1 |  1610783 |   20.8 |    21.8
   32 | 2026-03-07 15:18:33 |   c1 |   44.4 |    0.0 |       - |        0 |    0.0 |     0.0
   32 | 2026-03-07 15:18:33 |   c2 |   46.2 |   52.2 |   161.4 |  1626708 |   26.2 |    16.3
   32 | 2026-03-07 15:18:34 |   c3 |   63.6 |   53.8 |   175.2 |  2642595 |   20.8 |    17.7
   33 | 2026-03-07 15:18:35 |   c1 |   49.8 |    0.0 |       - |        0 |    0.0 |     0.0
   33 | 2026-03-07 15:18:35 |   c2 |   57.4 |   56.5 |   174.7 |  5466816 |   26.3 |    15.8
   33 | 2026-03-07 15:18:36 |   c3 |   65.9 |   55.4 |   180.2 |  2272336 |   20.7 |    14.6
   34 | 2026-03-07 15:18:38 |   c1 |   52.1 |    0.0 |       - |        0 |    0.0 |     0.0
   34 | 2026-03-07 15:18:38 |   c2 |   59.7 |   57.9 |   179.0 |  1765225 |   26.3 |    16.3
   34 | 2026-03-07 15:18:39 |   c3 |   73.0 |   56.2 |   182.9 |  1086971 |   20.7 |    16.1
   35 | 2026-03-07 15:18:40 |   c1 |   46.2 |    0.0 |       - |        0 |    0.0 |     0.0
   35 | 2026-03-07 15:18:42 |   c2 |   32.6 |   60.6 |   187.6 |  2296191 |   26.6 |    12.5
   35 | 2026-03-07 15:18:43 |   c3 |   64.1 |   57.5 |   187.3 |  1120922 |   20.6 |    30.0


==========================================================================================
  Floodlight 3-Controller Metrik Toplama
  Log: real_time_metrics.log | Ctrl+C ile durdur
==========================================================================================
    # |               Zaman | Ctrl |   CPU% |   Mem% |  HeapMB |    HGrow |  pCPU% |     RTT
------------------------------------------------------------------------------------------
    1 | 2026-03-07 15:20:56 |   c1 |    0.0 |   42.2 |   134.3 |        0 |   48.3 |    74.2
    1 | 2026-03-07 15:20:57 |   c2 |   70.7 |   50.7 |   156.5 |        0 |   25.6 |    17.8
    1 | 2026-03-07 15:20:58 |   c3 |   72.5 |   49.7 |   143.3 |        0 |   20.1 |    19.8
